,shem_angli,oid_rechov,k_rechov,ms_lamas,k_kivun,length,count,lights_per_meter,normalized_lights_per_meter
83,chagai,596,208,432,0,71.77282149774825,8,0.11146280490381705,0.0006365342743969655
84,cordoba,656,263,519,0,80.46195008302813,21,0.2609929286865437,0.001565204052636003
85,chelouche moshe,300,921,4026,0,42.848690169262404,24,0.5601104702429492,0.0034228994384046976
86,david hamellech,5388,2886,6210,0,622.5913453865105,516,9.973603135849608,0.06188621054303709
87,de-haas,610,508,810,1,164.29655169338633,40,0.2434622004401458,0.0014563279472660437
88,doltzin,726,6729,13608,9,330.43843364172994,231,5.129738999907363,0.03180297300434692
89,drezner dov,595,8768,1172,0,416.8218615857862,152,1.9676821271156733,0.012164745063724428
90,dubnov,2011,1322,2068,0,236.10908102123307,58,0.4974907008270308,0.0030339939395945758
91,ehud,667,1782,624,1,152.8770727522876,152,1.9888746042742014,0.012296362777702538
92,einstein,1365,2790,378,3,199.0336405873978,186,2.898304570303824,0.017944456309035697
93,eldad hadani,382,830,324,1,205.99162093109788,41,0.1990372220708632,0.001180422773333181
94,elhanan eib levinsky,118,140,9312,0,565.9488881656955,2836,22.768038136626362,0.1413471567008151
95,eli cohen,592,11210,22805,15,331.78913969041685,315,5.825474432394189,0.03612389813605752
96,eliezer peri,2634,4964,2544,0,418.1164447865102,1332,13.116647046906909,0.08140635683889884
97,eliyahu bachur,761,267,514,1,83.9426791228565,7,0.08339023811421324,0.00046218716817117975
98,elqahi,152,2196,286,1,145.8629359380919,12,0.08226901455687906,0.0004552237122065549
99,emanuel haromi,2957,1064,2060,4,318.0722511771395,156,1.9911610254243186,0.012310562794185676
100,emek berakha,2182,2808,10024,0,279.7844339059146,200,3.1907838816831267,0.019760924391632843
101,epstein,1285,978,1840,1,261.9935288759785,48,0.39853600313950754,0.0024194272233206554
102,esther hamalka,2876,972,2229,3,200.88911067812774,237,4.377334304880475,0.02713009851190069
103,eyn dor,889,786,1543,0,52.49442702134241,4,0.07619856481858044,0.0004175226586016743
104,eyn gedi,612,226,446,0,32.79964701665146,4,0.12195253192722812,0.0007016816321479293
105,eyn harod,976,353,740,1,105.07145555756904,11,0.10469065971940457,0.0005944752804797986
106,eyn zeytim,558,709,2563,0,72.36977973119443,274,3.78611073596918,0.023458253356282828
107,feinstein,309,4380,578,0,483.61375360082184,100,0.43171548312428654,0.0026254912560390625
108,filon,920,306,703,1,132.0758688917248,8,0.0605712464141225,0.00032046784482899133
109,fishman-maimon,895,677,1023,0,73.40285857966371,15,0.20435171450060877,0.0012134288886317692
110,frishman,16,96,714,0,60.781682578489786,37,0.6087360275395542,0.0037248926714003637
111,galili,561,2117,3105,0,207.92702913275772,175,0.841641419732235,0.005171371771708836
112,geiger,646,4168,382,1,226.26887688880038,56,0.5020614441083504,0.003062380936422174
113,gez,84,2250,4510,3,87.31406518376997,9,0.10307617657083878,0.0005844483931234569
114,giv'at hamoreh,1531,1248,1888,0,136.4265610925308,156,2.331535799021519,0.014424489791089488
115,gluskin,1599,1062,1882,0,146.8196305205052,18,0.24703228085843182,0.001478500240757639
116,gofer,199,7400,5706,0,71.07772300284631,62,1.7492957505972038,0.01080843756713917
117,gordon,10722,1188,8532,12,894.2003745512436,1644,31.232451946398026,0.1939161314116629
118,gottlieb,2460,903,2118,4,245.67960438640569,63,0.8555517972103192,0.005257763375226561
119,graetz,2005,572,1086,2,192.0169509624751,20,0.22193616187874748,0.001322638621319749
120,grizim,655,247,457,3,28.05770005367845,18,0.6415351210385524,0.003928594280919627
121,groneman,1449,2961,351,0,370.76896570627673,165,1.7646289848657437,0.01090366594592753
122,gruner dov,153,2208,285,0,202.48223635775963,29,0.14322244025772607,0.0008337802391225993
123,ha-amoraim,426,4298,334,1,215.78544826760967,70,0.6600940701718303,0.004043856241118323
124,ha-barzel,781,1804,720,2,323.6935741066884,42,0.2618053085134559,0.001570249407876935
