,shem_angli,oid_rechov,k_rechov,ms_lamas,k_kivun,length,count,lights_per_meter,normalized_lights_per_meter
302,revadim,362,908,355,0,66.70425742932974,36,0.5396956864131264,0.0032961116561676745
303,revivim,1298,3500,1504,4,288.80536059259975,976,19.245835375182665,0.11947221154169997
304,rodensky,479,4492,338,0,234.42511059884845,98,0.8411689163283329,0.005168437248415344
305,rophe hamachtarot,560,2122,3109,0,210.13576682091158,28,0.13324718787098738,0.0007718280706396013
306,rosanes,56,809,203,0,46.966534404161614,48,1.0220042975056471,0.006291531037729173
307,rosen,856,2406,9057,0,372.72404459912167,150,1.4950832768512576,0.009229628992338028
308,rothshild,67,24,3309,0,164.5990631007635,2340,42.97560851524919,0.26684802186115825
309,rozin yehoshua,115,2221,4539,0,143.32366336960047,18,0.12558986825212476,0.0007242716242697225
310,salvador,455,1996,228,0,147.31753152399511,38,0.517426731078906,0.0031578083812911347
311,sanehedrin,1546,1521,2532,0,264.97608731847293,21,0.24261246599803293,0.0014510505979537028
312,sha'ar hagai,132,2247,7923,0,114.429057290315,87,2.303917003910274,0.014252960873154145
313,sha'ar tsiyon,1154,444,814,1,123.37396441840124,20,0.32456559037463395,0.0019600275713921884
314,shai.k.ophir,347,4192,8284,0,150.90652741532813,8,0.10699933104507359,0.0006088134836043489
315,shalom aleichem,996,93,623,1,274.98633645669725,8,0.029092354562350334,0.0001249654619267117
316,shapira herman,15,347,747,1,75.17061992858623,117,1.5564591606554876,0.00961080923187638
317,sharet,7659,5660,9060,9,1100.1166265679003,940,12.830910656825491,0.07963176625274174
318,shay,239,1922,322,0,134.11903710129798,66,0.9844636993398905,0.006058381903015614
319,sheshet hayamim,106,4146,2959,0,57.411022857468474,250,4.354564464400203,0.026988684446464094
320,shevet asher,985,4116,314,3,181.89341254729604,16,0.1788208136223603,0.0010548670185747556
321,shevet gad,974,4124,294,3,106.51093561519205,8,0.1503467342236064,0.0008780262835318
322,shevet re'uven,1480,6165,438,0,152.97313406409393,39,0.8399271509450429,0.005160725157005586
323,shevet shim'on,1009,4114,300,0,123.1025156401166,52,0.8604627540276311,0.00528826329767096
324,shevet yisas'char,503,2059,152,0,111.47038831472773,1,0.008970992342617305,0.0
325,shevet yosef,1495,6168,474,0,181.20532446527196,333,6.225357530811371,0.03860740673575763
326,shfeya,122,962,139,0,82.37726894284603,7,0.08497489768514482,0.0004720288336168643
327,shim'on hatarsi,676,210,422,1,136.43719391278822,41,0.30050456788350205,0.0018105945083024275
328,shim'oni david,1165,6042,318,0,189.8034519800799,231,3.717085624278841,0.023029566924781347
329,shir,790,285,544,1,67.78366722826826,25,0.3688204109082798,0.0022348759653566482
330,shitreet,363,4260,544,0,217.4318020971669,222,2.9875419589117977,0.01849867283606549
331,shlomo hamelekh,915,191,710,0,56.989749477560565,7,0.12282910635984136,0.0007071256735447503
332,shlomtzion,4109,2946,4818,7,578.974026844094,360,4.431662909627714,0.027467511014788504
333,shlonsky,406,805,295,0,185.45205850007196,74,0.3990249587872398,0.002422463924698687
334,shohat,1063,2880,549,2,312.4079962212867,165,2.04147769202595,0.012623058807915737
335,sholem asch,589,4328,532,0,113.73403662947933,36,0.6335683167314738,0.00387911575310219
336,shor,2908,1948,3668,4,365.39734586037486,80,0.9054545019507574,0.0055676884429819344
337,shulamit,1925,654,1488,2,131.81176042297335,34,0.5375289246641943,0.003282654794754242
338,simtat mandelstam,631,244,460,1,69.08455760968928,26,0.3763503871139132,0.002281641534434834
339,simtat yelag,926,273,712,0,49.24922643476486,28,0.56853684873789,0.0034752321915001564
340,sirkin,2911,282,1860,3,438.8084731032731,87,0.7008943146683917,0.004297249691549594
341,sokolov,6143,1960,4290,10,697.7534125766368,330,8.088419084756088,0.050178111797578646
342,soutine,906,546,1021,1,77.63530474607983,182,2.3442942691506605,0.01450372737429858
343,spinoza,2609,906,2106,3,404.1119461204247,78,0.7268891557093108,0.00445869290214913
344,stricker,697,494,817,1,138.6463436037506,9,0.06491335989156612,0.00034743491646765
345,sumo,298,971,240,0,118.13055119433092,96,0.8126602223507363,0.00499138153653398
346,szold henrietta,1750,1346,2018,0,188.41937815339492,72,0.7688947665486987,0.0047195723845983775
347,sha’ul hamelekh blvd,1883,1576,2074,0,435.4139193918425,114,0.5512818274237377,0.003368068387900237
348,tabenkin,321,2152,347,0,103.46106423275249,3,0.028996415436545405,0.0001243696236806659
349,tagore,1114,10110,870,2,431.02897967287214,450,8.750744237173178,0.05429153949266337
350,tamir shmuel,532,4504,9572,0,255.41137290918448,76,0.600501713316595,0.003673752750092618
351,tashah,851,574,931,0,71.96579459766801,6,0.08337294173632907,0.00046207974751902157
352,tchernikhovsky,977,783,1140,1,99.85347668026937,15,0.15022010748839493,0.0008772398572309776
353,tel hay,965,354,741,1,66.98464017792325,11,0.16421675134451752,0.0009641672255573969
354,tevuot ha'arets,687,1670,662,1,227.2186855766809,162,1.600260420430359,0.009882840747484736
355,tirosh,322,876,399,0,61.442482964568825,27,0.43943536617115087,0.002673436257994521
356,tishrey,98,3675,2822,0,93.53098105485871,11,0.11760808959705203,0.000674700096967772
357,torczyner,463,906,120,0,91.33989404078795,46,0.5036134591907742,0.003072019860446021
358,tosefta,508,601,833,0,78.7559084470664,30,0.3809238010398124,0.0023100451175317852
359,tsahal,703,1684,602,0,164.6987110537184,86,1.1374574766830698,0.007008563001532539
360,tsiklag,32,1102,1561,0,55.228300625363275,545,9.868129090137383,0.06123115485149048
361,tsimhey hayehudim,1374,2970,363,0,240.39085411058474,243,5.243570129058119,0.03250993108604245
362,tidhar david,69,3520,2799,0,34.357630957329015,236,6.868925284548979,0.04260433998255764
363,unikowsky peretz,229,2007,4139,0,79.21380487903866,33,0.416594052645139,0.0025315783030200995
364,usha,891,4310,374,0,172.6095034553989,32,0.39453342042544687,0.0023945688368804006
365,usiel,522,1224,1394,3,155.7569961888653,135,0.8667347426006078,0.005327216025655372
366,valenberg,1174,2409,1083,0,639.6408340192986,345,1.706326640494283,0.010541574189105786
367,vitkin,1276,486,910,4,274.0124257272982,294,2.7746974277535883,0.017176783449835212
368,weisel,1746,552,1070,2,289.49655158144276,50,0.4129584228917533,0.002508998909708409
369,weizman,9404,5664,9948,0,1303.8354866637303,1848,20.65669770490458,0.12823449417561575
370,weizz,972,4130,452,0,120.20007598331597,34,0.5701966573550284,0.003485540576602793
371,wilna,2379,762,1518,3,167.2805034565588,183,3.292652041179984,0.020393585414685465
372,wissotzky,1465,1188,1820,2,257.85683530513757,126,1.4813934579403236,0.009144607186894848
373,ya'el,1937,652,1492,2,104.51497202964447,32,0.7312235865333208,0.004485612260003569
374,yad hamma'avir,1149,3300,912,0,244.49976559347434,92,1.7066420780002158,0.010543533241043098
375,yad labanim,33,637,2642,0,90.0345418107953,297,3.2987339528437425,0.02043135765357065
376,yechezke'el,1773,642,1245,2,231.1902587640028,75,1.0522183630626465,0.006479178107434599
377,yehezkel danin,1449,2186,1808,0,188.78554217913214,74,0.8485407008283774,0.005214220354211671
378,yehonatan,1379,3540,1244,0,371.99423416663006,396,4.759754436960899,0.029505151847436652
379,yehoshu'a ben nun,1921,570,1278,6,218.75196050438814,90,1.323149753369161,0.008161820960854143
380,yehoshua hankin,750,565,912,1,181.43626622174725,10,0.05511577265252047,0.00028658615276447167
381,yehuda hamakabi,4170,3012,4884,0,383.9386364363143,168,3.5422715787978487,0.02194386916206301
382,yehuda hanasi,2382,14532,1267,0,616.012266540681,273,4.0530444155757,0.02511606808132723
383,yesha'yahu,1735,621,1293,0,182.90106861556268,156,3.7210317132518047,0.02305407445195198
384,yetsiat europa,55,626,2660,0,68.934671226716,133,1.929362940784653,0.011926760439809876
385,yeven metsula,57,375,2331,0,86.47302037984844,478,5.527735678715723,0.03427476583176333
386,yig'al allon,2336,5796,22716,0,623.9427060222071,3402,89.729327834987,0.5572160430606882
387,yitzhak hayotman,722,1092,903,0,68.40379712863036,7,0.10233350038795076,0.0005798359383978244
388,yo'el,570,215,414,1,80.24152841958522,12,0.14954849734730452,0.0008730687643099566
389,yogev karmi dr.,328,2003,4138,0,76.96468595640992,255,3.313207828125525,0.020521248908978978
390,yohanan hasandlar,13,60,1253,1,63.759241538116896,352,5.520768307596091,0.03423149437027522
391,yonatan havafsi,675,687,807,1,136.19274301290548,26,0.19090591337554796,0.0011299225767718252
392,yoqne'am,553,728,2507,0,62.6006766771572,45,0.7188420699040201,0.004408715779137258
393,yoseph,372,836,333,0,78.43520581893982,6,0.07649626130707717,0.00041937152841439853
394,zamenhoff,1949,378,1484,2,175.47125909821537,80,0.9522368420984768,0.005858234216311284
395,zangwill,1259,472,898,2,176.91628735391268,40,1.0493333438577193,0.006461260445912776
396,zaritzky,896,4502,9538,0,100.63218617874765,248,7.409404419959505,0.045961032441087527
397,zeitlin,3593,1848,4132,4,514.760030325424,396,3.434398971420628,0.021273916995657845
398,zelig,308,1916,556,0,154.51564623136898,52,0.7140376868251292,0.004378877742121172
399,zikhron ya'akov,2554,1710,2814,3,259.68757325007925,78,0.9582388361945764,0.005895510120224237
400,ziman,540,722,2504,0,69.11578602181065,7,0.10127932275545608,0.0005732888769534302
401,zirelson,517,556,820,0,69.66410953503362,44,0.6316021304754164,0.003866904583150624
402,ziv,890,458,1043,0,107.63868987680529,98,0.9104532962279923,0.005598733887575077
403,zola emile,2423,888,1809,3,230.31844322774373,105,1.4182269182640088,0.008752305924049863
