x,y
34.786088,32.118293
34.764394,32.064291
34.813693,32.12365
34.802815,32.066177
34.803828,32.101972
34.789796,32.045261
34.785806,32.101895
34.798499,32.069886
34.773758,32.085461
34.791811,32.057061
34.770259,32.045195
34.770072,32.085327
34.769993,32.057543
34.772072,32.092599
34.805891,32.122189
34.776766,32.065452
34.772964,32.056525
34.771172,32.067491
34.814525,32.113374
34.800112,32.068977
34.753372,32.055288
34.757247,32.054175
34.78956,32.044827
34.773608,32.043295
34.74658,32.044251
34.774403,32.091175
34.836074,32.125747
34.763478,32.050216
34.841001,32.122215
34.780061,32.078578
34.769553,32.056681
34.807659,32.120519
34.842836,32.117557
34.763028,32.047467
34.776377,32.104793
34.788369,32.05343
34.790751,32.052514
34.750746,32.05084
34.799786,32.074323
34.770248,32.086759
34.833467,32.114783
34.791083,32.103953
34.772714,32.080434
34.785866,32.070378
34.764881,32.070581
34.763017,32.040651
34.763522,32.041611
34.780823,32.042556
34.829595,32.124549
34.769791,32.085794
34.793835,32.126396
34.79172,32.115144
34.794746,32.129372
34.790929,32.053064
34.764423,32.056325
34.754669,32.047419
34.834375,32.117173
34.774021,32.084507
34.798987,32.11947
34.778459,32.079655
34.804793,32.046326
34.772566,32.084892
34.766417,32.074044
34.769114,32.072367
34.802277,32.047897
34.793809,32.045332
34.778464,32.046254
34.787969,32.050675
34.773082,32.092033
34.790294,32.04528
34.80462,32.061353
34.771362,32.076885
34.835656,32.11908
34.746335,32.041439
34.787995,32.091706
34.798088,32.066756
34.769497,32.046809
34.771996,32.058173
34.807505,32.05399
34.821005,32.118729
34.751742,32.050312
34.767475,32.060683
34.787879,32.07853
34.781092,32.058257
34.781422,32.077492
34.776677,32.051241
34.783912,32.052491
34.797436,32.043126
34.749321,32.041166
34.788415,32.072664
34.798819,32.052305
34.77697,32.08405
34.773693,32.083026
34.777415,32.054973
34.797715,32.093148
34.772363,32.073112
34.752538,32.042346
34.790678,32.049157
34.792495,32.116761
34.761752,32.040503
34.794859,32.070237
34.776523,32.062897
34.811414,32.04733
34.752824,32.045024
34.76258,32.043718
34.796738,32.123241
34.793896,32.090301
34.771207,32.079982
34.790805,32.052676
34.777659,32.092291
34.798333,32.109305
34.758543,32.0461
34.798894,32.069049
34.788515,32.123656
34.807382,32.048803
34.790948,32.052974
34.787139,32.078201
34.812916,32.046853
34.792943,32.063655
34.810499,32.051769
34.780442,32.054544
34.765723,32.063242
34.799446,32.05534
34.755867,32.054
34.787543,32.069454
34.755426,32.043569
34.81488,32.113265
34.794561,32.090424
34.783864,32.090889
34.826976,32.115445
34.805124,32.048086
34.767321,32.070602
34.814336,32.109418
34.822844,32.107339
34.782218,32.066049
34.84095,32.121856
34.785233,32.058643
34.786086,32.09332
34.82715,32.115455
34.790046,32.047238
